Words,Book 1,Book 2,Book 3
to,-0.0,-0.0
i,0.14840182648401826,0.45595854922279794
it,0.5182648401826484,0.47150259067357514
is,0.5342465753424658,0.5008635578583766
for,0.5662100456621004,0.6010362694300518
my,0.5776255707762558,0.6614853195164075
that,0.6141552511415526,0.6649395509499136
with,0.632420091324201,0.6822107081174439
his,0.6415525114155252,0.696027633851468
was,0.6894977168949772,0.7012089810017271
by,0.6963470319634704,0.7167530224525043
he,0.7009132420091324,0.7305699481865285
which,0.7054794520547946,0.7357512953367875
at,0.7123287671232876,0.772020725388601
they,0.726027397260274,0.7754749568221071
on,0.726027397260274,0.7789291882556131
are,0.730593607305936,0.7789291882556131
had,0.7442922374429224,0.7823834196891192
but,0.7557077625570776,0.7858376511226253
have,0.7648401826484018,0.7892918825561313
me,0.7671232876712328,0.7962003454231433
who,0.776255707762557,0.8100172711571675
not,0.7785388127853882,0.8238341968911918
as,0.7808219178082192,0.8324697754749568
their,0.8082191780821918,0.844559585492228
her,0.8127853881278538,0.8480138169257341
them,0.8264840182648402,0.8549222797927462
all,0.8287671232876712,0.8635578583765112
from,0.8378995433789954,0.8652849740932642
has,0.8378995433789954,0.8704663212435233
him,0.8401826484018264,0.8739205526770294
this,0.8447488584474886,0.8791018998272885
one,0.8470319634703196,0.8825561312607945
what,0.8493150684931506,0.8842832469775475
so,0.8561643835616438,0.8911917098445595
she,0.8698630136986302,0.8929188255613126
we,0.8721461187214612,0.8963730569948186
you,0.8744292237442922,0.8963730569948186
or,0.8767123287671232,0.8981001727115717
up,0.8904109589041096,0.9050086355785838
these,0.8926940639269406,0.9050086355785838
its,0.8926940639269406,0.9119170984455959
when,0.8995433789954338,0.9136442141623489
be,0.8995433789954338,0.9136442141623489
little,0.9018264840182648,0.9136442141623489
first,0.9018264840182648,0.9153713298791019
no,0.906392694063927,0.917098445595855
then,0.908675799086758,0.918825561312608
life,0.908675799086758,0.927461139896373
out,0.908675799086758,0.927461139896373
there,0.908675799086758,0.927461139896373
without,0.910958904109589,0.927461139896373
were,0.91324200913242,0.9291882556131261
some,0.9155251141552512,0.9309153713298791
see,0.9155251141552512,0.9326424870466321
other,0.9178082191780822,0.9360967184801382
us,0.9178082191780822,0.9360967184801382
only,0.9200913242009132,0.9360967184801382
more,0.9223744292237442,0.9378238341968912
two,0.9223744292237442,0.9378238341968912
like,0.9246575342465754,0.9378238341968912
will,0.9246575342465754,0.9412780656303973
old,0.9246575342465754,0.9430051813471503
those,0.9292237442922374,0.9447322970639033
our,0.9292237442922374,0.9447322970639033
if,0.9292237442922374,0.9447322970639033
now,0.9315068493150684,0.9447322970639033
do,0.9315068493150684,0.9481865284974094
been,0.9315068493150684,0.9481865284974094
every,0.9315068493150684,0.9481865284974094
again,0.9337899543378996,0.9499136442141624
before,0.9337899543378996,0.9499136442141624
day,0.9360730593607306,0.9499136442141624
into,0.9360730593607306,0.9516407599309153
upon,0.9360730593607306,0.9516407599309153
great,0.9383561643835616,0.9516407599309153
child,0.9383561643835616,0.9533678756476683
just,0.9406392694063926,0.9533678756476683
can,0.9429223744292238,0.9533678756476683
would,0.9429223744292238,0.9533678756476683
man,0.9429223744292238,0.9550949913644214
left,0.9452054794520548,0.9568221070811744
make,0.9452054794520548,0.9585492227979274
look,0.9452054794520548,0.9585492227979274
eyes,0.9452054794520548,0.9585492227979274
come,0.9452054794520548,0.9585492227979274
made,0.9474885844748858,0.9602763385146805
myself,0.9474885844748858,0.9602763385146805
down,0.9474885844748858,0.9602763385146805
should,0.9474885844748858,0.9602763385146805
long,0.9474885844748858,0.9602763385146805
world,0.9497716894977168,0.9602763385146805
time,0.952054794520548,0.9602763385146805
always,0.952054794520548,0.9602763385146805
off,0.952054794520548,0.9620034542314335
take,0.952054794520548,0.9620034542314335
same,0.954337899543379,0.9620034542314335
work,0.954337899543379,0.9620034542314335
while,0.954337899543379,0.9637305699481865
last,0.954337899543379,0.9637305699481865
said,0.954337899543379,0.9654576856649395
here,0.95662100456621,0.9671848013816926
over,0.95662100456621,0.9671848013816926
nothing,0.95662100456621,0.9671848013816926
am,0.95662100456621,0.9671848013816926
too,0.95662100456621,0.9671848013816926
where,0.95662100456621,0.9671848013816926
than,0.958904109589041,0.9671848013816926
poor,0.958904109589041,0.9671848013816926
your,0.958904109589041,0.9671848013816926
such,0.958904109589041,0.9689119170984456
how,0.958904109589041,0.9689119170984456
many,0.9611872146118722,0.9689119170984456
through,0.9611872146118722,0.9689119170984456
open,0.9611872146118722,0.9689119170984456
find,0.9611872146118722,0.9689119170984456
paris,0.9634703196347032,0.9689119170984456
why,0.9634703196347032,0.9706390328151986
took,0.9634703196347032,0.9706390328151986
back,0.9634703196347032,0.9706390328151986
go,0.9634703196347032,0.9706390328151986
own,0.9634703196347032,0.9706390328151986
each,0.9634703196347032,0.9706390328151986
himself,0.9657534246575342,0.9706390328151986
good,0.9657534246575342,0.9723661485319517
much,0.9657534246575342,0.9723661485319517
moment,0.9680365296803652,0.9723661485319517
alone,0.9680365296803652,0.9723661485319517
young,0.9680365296803652,0.9723661485319517
mind,0.9680365296803652,0.9723661485319517
know,0.9680365296803652,0.9723661485319517
happy,0.9680365296803652,0.9723661485319517
seen,0.9680365296803652,0.9740932642487047
put,0.9680365296803652,0.9740932642487047
everything,0.9680365296803652,0.9740932642487047
mother,0.9680365296803652,0.9740932642487047
may,0.9680365296803652,0.9740932642487047
soon,0.9703196347031964,0.9740932642487047
others,0.9703196347031964,0.9740932642487047
themselves,0.9703196347031964,0.9740932642487047
